location,investigation_type,event_date,country,injury_severity,aircraft_category,make,model,number_of_engines,engine_type,total_fatal_injuries,total_uninjured,total_serious_injuries,total_minor_injuries,latitude,longitude,amateur_built,city,state
"memphis, tn",accident,2001-11-20,united states,non-fatal,airplane,boeing,727-233,3.0,turbo fan,0.0,0.0,0.0,0.0,35.059444,-90.083056,no,memphis,tn
"romulus, mi",accident,2001-11-30,united states,non-fatal,airplane,mcdonnell douglas,dc-9-82,2.0,turbo fan,0.0,0.0,1.0,0.0,unknown,unknown,no,romulus,mi
"chicago, il",incident,2001-12-13,united states,non-fatal,airplane,boeing,737-322,2.0,turbo fan,0.0,0.0,0.0,0.0,unknown,unknown,no,chicago,il
"anchorage, ak",accident,2001-12-28,united states,non-fatal,airplane,boeing,747-128,4.0,turbo fan,0.0,0.0,0.0,0.0,61.179445,-149.983333,no,anchorage,ak
"chicago, il",incident,2001-12-28,united states,non-fatal,airplane,boeing,737-522,2.0,turbo fan,0.0,0.0,0.0,0.0,41.979723,-87.904444,no,chicago,il
"miami, fl",incident,2002-01-01,united states,non-fatal,airplane,mcdonnell douglas,md-83,2.0,turbo fan,0.0,0.0,0.0,0.0,25.799722,-80.295,no,miami,fl
"greenville, sc",accident,2002-01-02,united states,non-fatal,airplane,boeing,727-200,3.0,turbo fan,0.0,0.0,0.0,0.0,34.885833,-82.2175,no,greenville,sc
"houston, tx",incident,2002-01-03,united states,non-fatal,airplane,boeing,747-228f,4.0,turbo fan,0.0,0.0,0.0,0.0,29.980278,-95.339722,no,houston,tx
"dulles, va",accident,2002-01-20,united states,non-fatal,airplane,mcdonnell douglas,dc-9-32,2.0,turbo fan,0.0,0.0,0.0,0.0,38.95,-77.446666,no,dulles,va
"kotzebue, ak",accident,2002-02-14,united states,non-fatal,airplane,boeing,727-100,3.0,turbo fan,0.0,0.0,0.0,0.0,66.885555,-162.598611,no,kotzebue,ak
"beaumont, tx",accident,2002-02-19,united states,non-fatal,airplane,boeing,737-724,2.0,turbo fan,0.0,0.0,1.0,0.0,30.070278,-94.215,no,beaumont,tx
