location,investigation_type,event_date,country,injury_severity,aircraft_category,make,model,number_of_engines,engine_type,total_fatal_injuries,total_uninjured,total_serious_injuries,total_minor_injuries,latitude,longitude,amateur_built,aircraft_damage,city,state,region,passengers
"fairhope, al",accident,2001-11-20,united states,non-fatal,airplane,cessna,175a,1.0,reciprocating,0.0,0.0,0.0,0.0,30.461667,-87.9,no,Substantial,fairhope,al,South,0.0
"stuart, fl",accident,2001-11-20,united states,non-fatal,airplane,cessna,150m,1.0,reciprocating,0.0,1.0,0.0,1.0,27.083056,-80.341111,no,Substantial,stuart,fl,South,2.0
"evans, ga",accident,2001-11-20,united states,non-fatal,airplane,piper,pa-24-250,1.0,reciprocating,0.0,0.0,1.0,0.0,33.371945,-82,no,Substantial,evans,ga,South,1.0
"crystal river, fl",accident,2001-11-20,united states,non-fatal,airplane,cessna,172m,1.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Substantial,crystal river,fl,South,0.0
"memphis, tn",accident,2001-11-20,united states,non-fatal,airplane,boeing,727-233,3.0,turbo fan,0.0,0.0,0.0,0.0,35.059444,-90.083056,no,Substantial,memphis,tn,South,0.0
"brookville, pa",accident,2001-11-21,united states,non-fatal,airplane,cessna,182,1.0,reciprocating,0.0,1.0,0.0,1.0,41.161667,-79.082778,no,Substantial,brookville,pa,North East,2.0
"milton, fl",accident,2001-11-21,united states,non-fatal,airplane,beech,a36,1.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Substantial,milton,fl,South,0.0
"west chester, pa",accident,2001-11-21,united states,non-fatal,airplane,cessna,152,1.0,reciprocating,0.0,0.0,0.0,0.0,39.99,-75.581667,no,Substantial,west chester,pa,North East,0.0
"falmouth, ma",accident,2001-11-21,united states,fatal(1),airplane,beech,95-b55,2.0,reciprocating,1.0,0.0,0.0,0.0,41.522223,-70.564444,no,Destroyed,falmouth,ma,North East,1.0
"eagleville, ca",accident,2001-11-21,united states,fatal(5),airplane,aero commander,500s,2.0,reciprocating,5.0,0.0,0.0,0.0,41.285833,-120.194722,no,Destroyed,eagleville,ca,West,5.0
"paris, tx",accident,2001-11-22,united states,non-fatal,airplane,beech,be-35c,1.0,reciprocating,0.0,0.0,0.0,0.0,33.636666,-95.450556,no,Substantial,paris,tx,South,0.0
"paris, tx",accident,2001-11-22,united states,non-fatal,airplane,piper,j3c-65,1.0,reciprocating,0.0,0.0,0.0,0.0,33.636666,-95.450556,no,Substantial,paris,tx,South,0.0
"new braunfels, tx",accident,2001-11-22,united states,non-fatal,airplane,cessna,152,1.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Substantial,new braunfels,tx,South,0.0
"marion, tx",accident,2001-11-22,united states,non-fatal,airplane,globe,gc-1b,1.0,reciprocating,0.0,1.0,1.0,1.0,,,no,Substantial,marion,tx,South,3.0
"hilton head, sc",accident,2001-11-22,united states,fatal(2),airplane,mooney,m-20-20,1.0,reciprocating,2.0,0.0,0.0,0.0,32.116667,-80.4,no,Destroyed,hilton head,sc,South,2.0
"tallassee, al",accident,2001-11-22,united states,fatal(2),airplane,enstrom,280fx,1.0,reciprocating,2.0,0.0,1.0,0.0,32.519723,-85.8925,no,Destroyed,tallassee,al,South,3.0
